status: 1, RRNproxNo: 61, alturaArvore: 0, noRaiz: 24, nroChavesTotal: 160
folha: 0, nroChavesNo: 3, alturaNo: 2, RRNdoNo: 29, descendentes: 25 51 14 41 -1 , dados: 22 (64) 25 (19) 30 (79) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 30, descendentes: -1 -1 -1 -1 -1 , dados: 76 (30) 77 (51) 78 (84) 79 (101) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 31, descendentes: -1 -1 -1 -1 -1 , dados: 102 (74) 104 (8) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 3, alturaNo: 2, RRNdoNo: 32, descendentes: 10 38 59 1 -1 , dados: 101 (93) 107 (100) 110 (1) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 33, descendentes: -1 -1 -1 -1 -1 , dados: 70 (152) 72 (95) 73 (112) 74 (92) 
folha: 0, nroChavesNo: 2, alturaNo: 2, RRNdoNo: 34, descendentes: 22 33 30 -1 -1 , dados: 69 (91) 75 (72) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 35, descendentes: -1 -1 -1 -1 -1 , dados: 134 (113) 135 (151) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 36, descendentes: -1 -1 -1 -1 -1 , dados: 122 (97) 123 (106) 124 (27) 125 (156) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 37, descendentes: -1 -1 -1 -1 -1 , dados: 93 (82) 94 (126) 95 (140) 96 (29) 
folha: 1, nroChavesNo: 3, alturaNo: 1, RRNdoNo: 38, descendentes: -1 -1 -1 -1 -1 , dados: 103 (157) 105 (158) 106 (155) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 39, descendentes: -1 -1 -1 -1 -1 , dados: 15 (66) 16 (104) 17 (102) 18 (150) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 40, descendentes: -1 -1 -1 -1 -1 , dados: 38 (127) 39 (117) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 41, descendentes: -1 -1 -1 -1 -1 , dados: 31 (108) 32 (32) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 4, alturaNo: 1, RRNdoNo: 42, descendentes: -1 -1 -1 -1 -1 , dados: 143 (38) 144 (110) 145 (115) 146 (148) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 43, descendentes: -1 -1 -1 -1 -1 , dados: 60 (159) 61 (138) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 44, descendentes: -1 -1 -1 -1 -1 , dados: 51 (121) 52 (129) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 45, descendentes: -1 -1 -1 -1 -1 , dados: 41 (105) 42 (60) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 2, alturaNo: 2, RRNdoNo: 46, descendentes: 28 40 45 -1 -1 , dados: 37 (80) 40 (133) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 3, alturaNo: 1, RRNdoNo: 47, descendentes: -1 -1 -1 -1 -1 , dados: 156 (135) 157 (154) 158 (34) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 48, descendentes: -1 -1 -1 -1 -1 , dados: 4 (94) 5 (77) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 3, alturaNo: 3, RRNdoNo: 49, descendentes: 46 16 53 34 -1 , dados: 43 (10) 53 (16) 65 (23) -1 (-1) 
folha: 1, nroChavesNo: 3, alturaNo: 1, RRNdoNo: 50, descendentes: -1 -1 -1 -1 -1 , dados: 84 (145) 85 (124) 86 (33) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 51, descendentes: -1 -1 -1 -1 -1 , dados: 23 (78) 24 (24) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 52, descendentes: -1 -1 -1 -1 -1 , dados: 57 (132) 58 (59) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 3, alturaNo: 2, RRNdoNo: 53, descendentes: 11 52 43 60 -1 , dados: 56 (47) 59 (114) 62 (86) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 54, descendentes: -1 -1 -1 -1 -1 , dados: 119 (88) 120 (45) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 2, alturaNo: 2, RRNdoNo: 55, descendentes: 17 54 36 -1 -1 , dados: 118 (146) 121 (12) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 56, descendentes: -1 -1 -1 -1 -1 , dados: 137 (28) 138 (17) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 2, alturaNo: 2, RRNdoNo: 57, descendentes: 35 4 42 -1 -1 , dados: 139 (7) 142 (73) -1 (-1) -1 (-1) 
folha: 0, nroChavesNo: 2, alturaNo: 3, RRNdoNo: 58, descendentes: 13 57 21 -1 -1 , dados: 136 (111) 147 (4) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 59, descendentes: -1 -1 -1 -1 -1 , dados: 108 (90) 109 (130) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 2, alturaNo: 1, RRNdoNo: 60, descendentes: -1 -1 -1 -1 -1 , dados: 63 (118) 64 (139) -1 (-1) -1 (-1) 
folha: 1, nroChavesNo: 0, alturaNo: 1, RRNdoNo: -1, descendentes: -1 -1 -1 -1 -1 , dados: -1 (-1) -1 (-1) -1 (-1) -1 (-1) 
